Date,AMZN,BA,MSFT,BTC,Gold,30 T-Bond
11/7/2016, 784.93 , 143.03 , 60.42 , 705.47 ," 1,286.90 ", 2.60 
11/8/2016, 787.75 , 142.20 , 60.47 , 706.13 ," 1,281.90 ", 2.63 
11/9/2016, 771.88 , 145.09 , 60.17 , 728.36 ," 1,280.80 ", 2.88 
11/10/2016, 742.38 , 147.69 , 58.70 , 719.25 ," 1,272.80 ", 2.94 
11/11/2016, 739.01 , 148.52 , 59.02 , 714.57 ," 1,229.60 ", 2.94 
11/14/2016, 719.07 , 149.99 , 58.12 , 704.62 ," 1,227.00 ", 2.99 
11/15/2016, 743.24 , 148.11 , 58.87 , 711.40 ," 1,230.20 ", 2.97 
11/16/2016, 746.49 , 146.44 , 59.65 , 710.93 ," 1,229.80 ", 2.92 
11/17/2016, 756.40 , 145.33 , 60.64 , 745.93 ," 1,222.40 ", 3.01 
11/18/2016, 760.16 , 146.35 , 60.35 , 738.67 ," 1,214.40 ", 3.01 
11/21/2016, 780.00 , 147.02 , 60.86 , 730.37 ," 1,215.50 ", 3.00 
11/22/2016, 785.33 , 149.52 , 61.12 , 734.84 ," 1,217.00 ", 3.00 
11/23/2016, 780.12 , 149.74 , 60.40 , 745.98 ," 1,195.40 ", 3.02 
11/25/2016, 780.37 , 150.04 , 60.53 , 730.31 ," 1,184.10 ", 3.01 
11/28/2016, 766.77 , 149.77 , 60.61 , 731.90 ," 1,197.00 ", 2.99 
11/29/2016, 762.52 , 151.64 , 61.09 , 731.13 ," 1,194.00 ", 2.95 
11/30/2016, 750.57 , 150.56 , 60.26 , 731.64 ," 1,202.70 ", 3.02 
12/1/2016, 743.65 , 152.39 , 59.20 , 744.10 ," 1,197.90 ", 3.10 
12/2/2016, 740.34 , 152.25 , 59.25 , 766.59 ," 1,206.60 ", 3.08 
12/5/2016, 759.36 , 152.16 , 60.22 , 760.10 ," 1,205.80 ", 3.05 
12/6/2016, 764.72 , 152.24 , 59.95 , 754.83 ," 1,199.10 ", 3.08 
12/7/2016, 770.42 , 154.14 , 61.37 , 758.35 ," 1,206.60 ", 3.02 
12/8/2016, 767.33 , 155.39 , 61.01 , 763.24 ," 1,202.40 ", 3.10 
12/9/2016, 768.66 , 156.49 , 61.97 , 766.87 ," 1,191.90 ", 3.16 
12/12/2016, 760.12 , 157.16 , 62.17 , 769.83 ," 1,196.10 ", 3.16 
12/13/2016, 774.34 , 156.66 , 62.98 , 774.39 ," 1,189.30 ", 3.14 
12/14/2016, 768.82 , 154.47 , 62.68 , 778.36 ," 1,194.00 ", 3.14 
12/15/2016, 761.00 , 153.77 , 62.58 , 776.98 ," 1,162.10 ", 3.16 
12/16/2016, 757.77 , 154.50 , 62.30 , 776.42 ," 1,169.90 ", 3.19 
12/19/2016, 766.00 , 156.18 , 63.62 , 791.00 ," 1,174.90 ", 3.12 
12/20/2016, 771.22 , 156.39 , 63.54 , 789.23 ," 1,166.00 ", 3.15 
12/21/2016, 770.60 , 157.48 , 63.54 , 805.80 ," 1,165.50 ", 3.12 
12/22/2016, 766.34 , 157.46 , 63.55 , 842.64 ," 1,162.80 ", 3.12 
12/23/2016, 760.59 , 157.81 , 63.24 , 910.93 ," 1,165.80 ", 3.12 
12/27/2016, 771.40 , 157.48 , 63.28 , 900.37 ," 1,170.90 ", 3.14 
12/28/2016, 772.13 , 156.10 , 62.99 , 948.90 ," 1,173.00 ", 3.09 
12/29/2016, 765.15 , 155.69 , 62.90 , 971.65 ," 1,190.20 ", 3.08 
12/30/2016, 749.87 , 155.68 , 62.14 , 954.84 ," 1,183.50 ", 3.06 
1/3/2017, 753.67 , 156.97 , 62.58 ," 1,028.33 "," 1,163.20 ", 3.04 
1/4/2017, 757.18 , 158.62 , 62.30 ," 1,047.10 "," 1,166.50 ", 3.05 
1/5/2017, 780.45 , 158.71 , 62.30 ," 1,140.39 "," 1,182.60 ", 2.96 
1/6/2017, 795.99 , 159.10 , 62.84 , 985.94 ," 1,174.80 ", 3.00 
1/9/2017, 796.92 , 158.32 , 62.64 , 889.34 ," 1,186.30 ", 2.97 
1/10/2017, 795.90 , 159.07 , 62.62 , 905.23 ," 1,186.90 ", 2.97 
1/11/2017, 799.02 , 159.40 , 63.19 , 910.61 ," 1,198.00 ", 2.96 
1/12/2017, 813.64 , 158.29 , 62.61 , 772.66 ," 1,201.20 ", 3.01 
1/13/2017, 817.14 , 158.83 , 62.70 , 784.89 ," 1,197.50 ", 2.99 
1/17/2017, 809.72 , 157.67 , 62.53 , 848.58 ," 1,214.30 ", 2.93 
1/18/2017, 807.48 , 158.32 , 62.50 , 890.29 ," 1,213.50 ", 3.00 
1/19/2017, 809.04 , 159.00 , 62.30 , 888.06 ," 1,202.70 ", 3.04 
1/20/2017, 808.33 , 159.53 , 62.74 , 896.16 ," 1,206.00 ", 3.05 
1/23/2017, 817.88 , 157.84 , 62.96 , 920.37 ," 1,216.60 ", 2.99 
1/24/2017, 822.44 , 160.55 , 63.52 , 912.21 ," 1,211.70 ", 3.05 
1/25/2017, 836.52 , 167.36 , 63.68 , 898.55 ," 1,199.00 ", 3.10 
1/26/2017, 839.15 , 169.12 , 64.27 , 901.05 ," 1,191.00 ", 3.08 
1/27/2017, 835.77 , 167.70 , 65.78 , 912.84 ," 1,189.80 ", 3.06 
1/30/2017, 830.38 , 165.57 , 65.13 , 916.91 ," 1,194.50 ", 3.08 
1/31/2017, 823.48 , 163.42 , 64.65 , 921.35 ," 1,209.80 ", 3.05 
2/1/2017, 832.35 , 163.97 , 63.58 , 973.07 ," 1,206.90 ", 3.08 
2/2/2017, 839.95 , 162.26 , 63.17 , 982.83 ," 1,218.00 ", 3.09 
2/3/2017, 810.20 , 162.40 , 63.68 ," 1,020.09 "," 1,219.60 ", 3.11 
2/6/2017, 807.64 , 163.98 , 63.64 ," 1,019.31 "," 1,230.90 ", 3.05 
2/7/2017, 812.50 , 166.50 , 63.43 ," 1,029.41 "," 1,234.90 ", 3.02 
2/8/2017, 819.71 , 163.81 , 63.34 ," 1,067.71 "," 1,238.20 ", 2.96 
2/9/2017, 821.36 , 164.28 , 64.06 ," 1,072.21 "," 1,235.70 ", 3.02 
2/10/2017, 827.46 , 166.23 , 64.00 , 974.96 ," 1,234.90 ", 3.01 
2/13/2017, 836.53 , 168.03 , 64.72 ," 1,004.85 "," 1,224.80 ", 3.03 
2/14/2017, 836.39 , 168.50 , 64.57 , 994.58 ," 1,224.30 ", 3.07 
2/15/2017, 842.70 , 169.30 , 64.53 ," 1,003.59 "," 1,231.90 ", 3.09 
2/16/2017, 844.14 , 170.81 , 64.52 ," 1,018.41 "," 1,240.20 ", 3.05 
2/17/2017, 845.07 , 172.71 , 64.62 ," 1,038.87 "," 1,237.80 ", 3.03 
2/21/2017, 856.44 , 175.56 , 64.49 ," 1,079.58 "," 1,237.70 ", 3.04 
2/22/2017, 855.61 , 175.36 , 64.36 ," 1,112.86 "," 1,232.10 ", 3.04 
2/23/2017, 852.19 , 176.86 , 64.62 ," 1,122.52 "," 1,250.10 ", 3.02 
2/24/2017, 845.24 , 177.44 , 64.62 ," 1,193.50 "," 1,256.80 ", 2.95 
2/27/2017, 848.64 , 179.43 , 64.23 ," 1,189.37 "," 1,257.40 ", 2.98 
2/28/2017, 845.04 , 180.23 , 63.98 ," 1,189.95 "," 1,252.60 ", 2.97 
3/1/2017, 853.08 , 183.91 , 64.94 ," 1,193.61 "," 1,248.90 ", 3.06 
3/2/2017, 848.91 , 182.99 , 64.01 ," 1,221.05 "," 1,234.40 ", 3.09 
3/3/2017, 849.88 , 182.18 , 64.25 ," 1,269.78 "," 1,228.10 ", 3.08 
3/6/2017, 846.61 , 180.93 , 64.27 ," 1,273.25 "," 1,227.10 ", 3.10 
3/7/2017, 846.02 , 182.02 , 64.40 ," 1,280.30 "," 1,217.70 ", 3.11 
3/8/2017, 850.50 , 181.74 , 64.99 ," 1,206.36 "," 1,211.00 ", 3.15 
3/9/2017, 853.00 , 180.57 , 64.73 ," 1,153.06 "," 1,204.80 ", 3.19 
3/10/2017, 852.46 , 178.70 , 64.93 ," 1,200.56 "," 1,203.00 ", 3.16 
3/13/2017, 854.59 , 179.05 , 64.71 ," 1,235.55 "," 1,204.70 ", 3.20 
3/14/2017, 852.53 , 178.73 , 64.41 ," 1,242.81 "," 1,204.20 ", 3.17 
3/15/2017, 852.97 , 178.71 , 64.75 ," 1,245.89 "," 1,202.30 ", 3.11 
3/16/2017, 853.42 , 178.19 , 64.64 ," 1,247.67 "," 1,228.60 ", 3.14 
3/17/2017, 852.31 , 180.10 , 64.87 ," 1,126.08 "," 1,231.70 ", 3.11 
3/20/2017, 856.97 , 179.39 , 64.93 ," 1,036.23 "," 1,235.60 ", 3.08 
3/21/2017, 843.20 , 175.96 , 64.21 ," 1,065.48 "," 1,248.00 ", 3.04 
3/22/2017, 848.06 , 176.98 , 65.03 ," 1,091.33 "," 1,251.20 ", 3.02 
3/23/2017, 847.38 , 177.26 , 64.87 ," 1,036.10 "," 1,248.60 ", 3.02 
3/24/2017, 845.61 , 175.82 , 64.98 ," 1,013.84 "," 1,250.10 ", 3.00 
3/27/2017, 846.82 , 176.10 , 65.10 , 968.29 ," 1,257.30 ", 2.98 
3/28/2017, 856.00 , 177.36 , 65.29 ," 1,035.32 "," 1,257.20 ", 3.02 
3/29/2017, 874.32 , 177.63 , 65.47 ," 1,011.97 "," 1,255.30 ", 2.99 
3/30/2017, 876.34 , 177.98 , 65.71 ," 1,041.37 "," 1,246.50 ", 3.03 
3/31/2017, 886.54 , 176.86 , 65.86 ," 1,048.86 "," 1,249.50 ", 3.02 
4/3/2017, 891.51 , 176.65 , 65.55 ," 1,140.04 "," 1,252.30 ", 2.98 
4/4/2017, 906.83 , 178.70 , 65.73 ," 1,148.09 "," 1,256.70 ", 2.99 
4/5/2017, 909.28 , 177.08 , 65.56 ," 1,139.86 "," 1,246.90 ", 2.98 
4/6/2017, 898.28 , 177.37 , 65.73 ," 1,150.69 "," 1,251.70 ", 2.99 
4/7/2017, 894.88 , 178.85 , 65.68 ," 1,177.28 "," 1,255.60 ", 3.00 
4/10/2017, 907.04 , 177.56 , 65.53 ," 1,213.80 "," 1,252.30 ", 2.99 
4/11/2017, 902.36 , 178.57 , 65.48 ," 1,206.74 "," 1,272.50 ", 2.93 
4/12/2017, 896.23 , 176.05 , 65.23 ," 1,226.90 "," 1,276.40 ", 2.92 
4/13/2017, 884.67 , 175.62 , 64.95 ," 1,216.27 "," 1,286.80 ", 2.89 
4/17/2017, 901.99 , 179.02 , 65.48 ," 1,184.20 "," 1,290.20 ", 2.92 
4/18/2017, 903.78 , 177.85 , 65.39 ," 1,211.74 "," 1,292.40 ", 2.84 
4/19/2017, 899.20 , 178.40 , 65.04 ," 1,218.67 "," 1,281.70 ", 2.87 
4/20/2017, 902.06 , 179.30 , 65.50 ," 1,227.98 "," 1,282.10 ", 2.89 
4/21/2017, 898.53 , 180.38 , 66.40 ," 1,261.70 "," 1,287.40 ", 2.89 
4/24/2017, 907.41 , 182.06 , 67.53 ," 1,243.43 "," 1,275.90 ", 2.93 
4/25/2017, 907.62 , 183.51 , 67.92 ," 1,251.58 "," 1,265.40 ", 2.99 
4/26/2017, 909.29 , 181.71 , 67.83 ," 1,269.70 "," 1,262.10 ", 2.97 
4/27/2017, 918.38 , 183.22 , 68.27 ," 1,289.75 "," 1,263.70 ", 2.96 
4/28/2017, 924.99 , 184.83 , 68.46 ," 1,335.83 "," 1,266.10 ", 2.96 
5/1/2017, 948.23 , 182.39 , 69.41 ," 1,370.79 "," 1,253.30 ", 3.00 
5/2/2017, 946.94 , 183.44 , 69.30 ," 1,416.61 "," 1,255.10 ", 2.97 
5/3/2017, 941.03 , 183.39 , 69.08 ," 1,448.89 "," 1,246.40 ", 2.97 
5/4/2017, 937.53 , 183.07 , 68.81 ," 1,506.77 "," 1,226.50 ", 3.00 
5/5/2017, 934.15 , 185.01 , 69.00 ," 1,543.31 "," 1,228.50 ", 2.99 
5/8/2017, 949.04 , 186.02 , 68.94 ," 1,564.07 "," 1,228.70 ", 3.02 
5/9/2017, 952.82 , 186.91 , 69.04 ," 1,644.73 "," 1,217.70 ", 3.04 
5/10/2017, 948.95 , 183.18 , 69.31 ," 1,695.83 "," 1,220.50 ", 3.03 
5/11/2017, 947.62 , 183.94 , 68.46 ," 1,748.35 "," 1,225.80 ", 3.03 
5/12/2017, 961.35 , 183.25 , 68.38 ," 1,774.52 "," 1,229.30 ", 2.98 
5/15/2017, 957.97 , 182.39 , 68.43 ," 1,747.04 "," 1,231.60 ", 3.00 
5/16/2017, 966.07 , 182.70 , 69.41 ," 1,665.03 "," 1,238.00 ", 2.99 
5/17/2017, 944.76 , 178.78 , 67.48 ," 1,744.44 "," 1,260.40 ", 2.91 
5/18/2017, 958.49 , 177.40 , 67.71 ," 1,796.90 "," 1,254.50 ", 2.90 
5/19/2017, 959.84 , 180.76 , 67.69 ," 1,913.14 "," 1,255.20 ", 2.90 
5/22/2017, 970.67 , 183.67 , 68.45 ," 2,114.99 "," 1,263.00 ", 2.91 
5/23/2017, 971.54 , 183.49 , 68.68 ," 2,196.67 "," 1,257.10 ", 2.95 
5/24/2017, 980.35 , 185.25 , 68.77 ," 2,348.55 "," 1,254.70 ", 2.92 
5/25/2017, 993.38 , 187.07 , 69.62 ," 2,581.85 "," 1,258.00 ", 2.92 
5/26/2017, 995.78 , 186.59 , 69.96 ," 2,460.95 "," 1,269.70 ", 2.92 
5/30/2017, 996.70 , 186.88 , 70.41 ," 2,315.74 "," 1,263.80 ", 2.88 
5/31/2017, 994.62 , 187.63 , 69.84 ," 2,170.98 "," 1,273.60 ", 2.87 
6/1/2017, 995.95 , 187.32 , 70.10 ," 2,402.13 "," 1,268.30 ", 2.87 
6/2/2017," 1,006.73 ", 190.23 , 71.76 ," 2,477.17 "," 1,278.40 ", 2.80 
6/5/2017," 1,011.34 ", 188.95 , 72.28 ," 2,605.13 "," 1,280.70 ", 2.84 
6/6/2017," 1,003.00 ", 186.75 , 72.52 ," 2,855.03 "," 1,295.20 ", 2.81 
6/7/2017," 1,010.07 ", 188.10 , 72.39 ," 2,900.85 "," 1,290.90 ", 2.84 
6/8/2017," 1,010.27 ", 189.93 , 71.95 ," 2,737.90 "," 1,277.50 ", 2.85 
6/9/2017, 978.31 , 190.03 , 70.32 ," 2,826.04 "," 1,269.50 ", 2.86 
6/12/2017, 964.91 , 190.00 , 69.78 ," 3,007.01 "," 1,267.20 ", 2.86 
6/13/2017, 980.79 , 191.09 , 70.65 ," 2,697.08 "," 1,266.90 ", 2.87 
6/14/2017, 976.47 , 192.38 , 70.27 ," 2,780.18 "," 1,274.20 ", 2.79 
6/15/2017, 964.17 , 195.45 , 69.90 ," 2,518.55 "," 1,253.00 ", 2.78 
6/16/2017, 987.71 , 196.44 , 70.00 ," 2,438.62 "," 1,255.10 ", 2.78 
6/19/2017, 995.17 , 199.08 , 70.87 ," 2,611.68 "," 1,245.30 ", 2.79 
6/20/2017, 992.59 , 198.33 , 69.91 ," 2,667.55 "," 1,242.10 ", 2.74 
6/21/2017," 1,002.23 ", 199.17 , 70.27 ," 2,805.10 "," 1,244.20 ", 2.73 
6/22/2017," 1,001.30 ", 199.44 , 70.26 ," 2,702.00 "," 1,247.90 ", 2.72 
6/23/2017," 1,003.74 ", 202.23 , 71.21 ," 2,763.29 "," 1,254.80 ", 2.71 
6/26/2017, 993.98 , 199.98 , 70.53 ," 2,630.59 "," 1,244.90 ", 2.70 
6/27/2017, 976.78 , 198.89 , 69.21 ," 2,513.43 "," 1,245.30 ", 2.75 
6/28/2017, 990.33 , 199.62 , 69.80 ," 2,556.17 "," 1,247.50 ", 2.77 
6/29/2017, 975.93 , 197.46 , 68.49 ," 2,591.27 "," 1,244.20 ", 2.82 
6/30/2017, 968.00 , 197.75 , 68.93 ," 2,547.32 "," 1,266.60 ", 2.84 
7/3/2017, 953.66 , 198.59 , 68.17 ," 2,513.74 "," 1,243.50 ", 2.86 
7/5/2017, 971.40 , 201.81 , 69.08 ," 2,588.68 "," 1,246.40 ", 2.85 
7/6/2017, 965.14 , 201.48 , 68.57 ," 2,634.17 "," 1,248.70 ", 2.90 
7/7/2017, 978.76 , 202.37 , 69.46 ," 2,598.57 "," 1,234.70 ", 2.93 
7/10/2017, 996.47 , 203.96 , 69.98 ," 2,524.13 "," 1,214.90 ", 2.93 
7/11/2017, 994.13 , 206.27 , 69.99 ," 2,352.27 "," 1,216.40 ", 2.92 
7/12/2017," 1,006.51 ", 206.44 , 71.15 ," 2,292.91 "," 1,220.80 ", 2.89 
7/13/2017," 1,000.63 ", 206.23 , 71.77 ," 2,437.55 "," 1,218.90 ", 2.92 
7/14/2017," 1,001.81 ", 208.51 , 72.78 ," 2,337.68 "," 1,229.10 ", 2.91 
7/17/2017," 1,010.04 ", 209.00 , 73.35 ," 1,986.94 "," 1,235.30 ", 2.89 
7/18/2017," 1,024.45 ", 208.24 , 73.30 ," 2,189.24 "," 1,266.30 ", 2.85 
7/19/2017," 1,026.87 ", 210.88 , 73.86 ," 2,354.89 "," 1,266.40 ", 2.85 
7/20/2017," 1,028.70 ", 210.28 , 74.22 ," 2,349.36 "," 1,246.80 ", 2.83 
7/21/2017," 1,025.67 ", 212.14 , 73.79 ," 2,740.57 "," 1,256.00 ", 2.81 
7/24/2017," 1,038.95 ", 212.18 , 73.60 ," 2,772.37 "," 1,255.60 ", 2.83 
7/25/2017," 1,039.87 ", 212.46 , 74.19 ," 2,768.80 "," 1,275.80 ", 2.91 
7/26/2017," 1,052.80 ", 233.45 , 74.05 ," 2,540.21 "," 1,250.80 ", 2.89 
7/27/2017," 1,046.00 ", 241.00 , 73.16 ," 2,570.20 "," 1,261.50 ", 2.93 
7/28/2017," 1,020.04 ", 241.27 , 73.04 ," 2,699.72 "," 1,270.20 ", 2.89 
7/31/2017, 987.78 , 242.46 , 72.70 ," 2,718.62 "," 1,268.90 ", 2.89 
8/1/2017, 996.19 , 239.44 , 72.58 ," 2,867.65 "," 1,275.20 ", 2.86 
8/2/2017, 995.89 , 237.95 , 72.26 ," 2,739.71 "," 1,274.20 ", 2.85 
8/3/2017, 986.92 , 238.25 , 72.15 ," 2,740.07 "," 1,270.20 ", 2.81 
8/4/2017, 987.58 , 237.71 , 72.68 ," 2,811.71 "," 1,260.20 ", 2.84 
8/7/2017, 992.27 , 240.23 , 72.40 ," 3,274.64 "," 1,260.20 ", 2.84 
8/8/2017, 989.84 , 239.50 , 72.79 ," 3,474.76 "," 1,257.90 ", 2.86 
8/9/2017, 982.01 , 234.31 , 72.47 ," 3,416.19 "," 1,274.60 ", 2.82 
8/10/2017, 956.92 , 232.88 , 71.41 ," 3,364.41 "," 1,285.10 ", 2.79 
8/11/2017, 967.99 , 234.88 , 72.50 ," 3,451.85 "," 1,289.00 ", 2.79 
8/14/2017, 983.30 , 237.15 , 73.59 ," 4,036.76 "," 1,285.30 ", 2.81 
8/15/2017, 982.74 , 239.17 , 73.22 ," 4,462.68 "," 1,274.70 ", 2.84 
8/16/2017, 978.18 , 237.59 , 73.65 ," 4,118.90 "," 1,277.90 ", 2.81 
8/17/2017, 960.57 , 235.59 , 72.40 ," 4,322.42 "," 1,287.30 ", 2.78 
8/18/2017, 958.47 , 235.77 , 72.49 ," 4,311.69 "," 1,286.50 ", 2.78 
8/21/2017, 953.29 , 235.68 , 72.15 ," 4,110.94 "," 1,291.50 ", 2.77 
8/22/2017, 966.90 , 239.75 , 73.16 ," 3,911.28 "," 1,309.00 ", 2.79 
8/23/2017, 958.00 , 238.09 , 72.72 ," 4,162.79 "," 1,312.30 ", 2.75 
8/24/2017, 952.45 , 238.74 , 72.69 ," 4,178.76 "," 1,309.50 ", 2.77 
8/25/2017, 945.26 , 235.89 , 72.82 ," 4,396.03 "," 1,315.40 ", 2.75 
8/28/2017, 946.02 , 237.18 , 72.83 ," 4,340.46 "," 1,333.20 ", 2.76 
8/29/2017, 954.06 , 240.49 , 73.05 ," 4,442.66 "," 1,336.90 ", 2.74 
8/30/2017, 967.59 , 240.46 , 74.01 ," 4,664.64 "," 1,332.10 ", 2.75 
8/31/2017, 980.60 , 239.66 , 74.77 ," 4,676.14 "," 1,339.70 ", 2.73 
9/1/2017, 978.25 , 240.33 , 73.94 ," 4,783.17 "," 1,348.30 ", 2.77 
9/5/2017, 965.27 , 237.00 , 73.61 ," 4,160.54 "," 1,362.60 ", 2.69 
9/6/2017, 967.80 , 234.62 , 73.40 ," 4,517.57 "," 1,357.20 ", 2.72 
9/7/2017, 979.47 , 236.31 , 74.34 ," 4,543.10 "," 1,369.30 ", 2.66 
9/8/2017, 965.90 , 238.78 , 73.98 ," 4,628.60 "," 1,370.40 ", 2.67 
9/11/2017, 977.96 , 240.59 , 74.76 ," 4,307.83 "," 1,355.20 ", 2.75 
9/12/2017, 982.58 , 240.58 , 74.68 ," 4,295.76 "," 1,351.90 ", 2.78 
9/13/2017, 999.60 , 241.93 , 75.21 ," 3,944.58 "," 1,347.40 ", 2.79 
9/14/2017, 992.21 , 245.23 , 74.77 ," 3,817.06 "," 1,349.20 ", 2.77 
9/15/2017, 986.79 , 249.00 , 75.31 ," 3,358.11 "," 1,345.10 ", 2.77 
9/18/2017, 974.19 , 253.08 , 75.16 ," 3,764.62 "," 1,330.30 ", 2.80 
9/19/2017, 969.86 , 252.46 , 75.44 ," 3,976.39 "," 1,330.10 ", 2.81 
9/20/2017, 973.21 , 255.46 , 74.94 ," 3,863.19 "," 1,335.80 ", 2.82 
9/21/2017, 964.65 , 256.04 , 74.21 ," 3,827.69 "," 1,314.20 ", 2.80 
9/22/2017, 955.10 , 256.45 , 74.41 ," 3,690.99 "," 1,316.90 ", 2.80 
9/25/2017, 939.79 , 254.32 , 73.26 ," 3,753.44 "," 1,331.00 ", 2.76 
9/26/2017, 938.60 , 253.70 , 73.26 ," 3,920.99 "," 1,321.20 ", 2.78 
9/27/2017, 950.87 , 255.28 , 73.85 ," 3,939.52 "," 1,307.60 ", 2.86 
9/28/2017, 956.40 , 254.27 , 73.87 ," 4,220.28 "," 1,330.80 ", 2.87 
9/29/2017, 961.35 , 254.21 , 74.49 ," 4,062.20 "," 1,327.10 ", 2.86 
10/2/2017, 959.19 , 255.99 , 74.61 ," 4,414.18 "," 1,318.40 ", 2.87 
10/3/2017, 957.10 , 255.46 , 74.26 ," 4,424.47 "," 1,317.10 ", 2.87 
10/4/2017, 965.45 , 255.76 , 74.69 ," 4,307.56 "," 1,319.30 ", 2.87 
10/5/2017, 980.85 , 258.89 , 75.97 ," 4,186.78 "," 1,316.10 ", 2.89 
10/6/2017, 989.58 , 258.58 , 76.00 ," 4,325.24 "," 1,315.90 ", 2.91 
10/9/2017, 990.99 , 258.39 , 76.29 ," 4,624.35 "," 1,326.30 ", 2.91 
10/10/2017, 987.20 , 260.93 , 76.29 ," 4,789.30 "," 1,335.30 ", 2.88 
10/11/2017, 995.00 , 261.44 , 76.42 ," 4,741.71 "," 1,330.40 ", 2.88 
10/12/2017," 1,000.93 ", 261.91 , 77.12 ," 4,858.60 "," 1,338.20 ", 2.86 
10/13/2017," 1,002.94 ", 260.74 , 77.49 ," 5,728.55 "," 1,346.30 ", 2.81 
10/16/2017," 1,006.34 ", 259.75 , 77.65 ," 5,607.01 "," 1,345.40 ", 2.82 
10/17/2017," 1,009.13 ", 258.62 , 77.59 ," 5,643.55 "," 1,328.20 ", 2.80 
10/18/2017, 997.00 , 260.04 , 77.61 ," 5,495.04 "," 1,325.00 ", 2.85 
10/19/2017, 986.61 , 259.04 , 77.91 ," 5,627.09 "," 1,331.60 ", 2.83 
10/20/2017, 982.91 , 264.75 , 78.81 ," 5,686.53 "," 1,321.90 ", 2.89 
10/23/2017, 966.30 , 262.32 , 78.83 ," 5,969.80 "," 1,322.60 ", 2.89 
10/24/2017, 975.90 , 266.00 , 78.86 ," 5,649.01 "," 1,319.90 ", 2.92 
10/25/2017, 972.91 , 258.42 , 78.63 ," 5,550.86 "," 1,321.00 ", 2.95 
10/26/2017, 972.43 , 259.27 , 78.76 ," 5,776.88 "," 1,311.60 ", 2.96 
10/27/2017," 1,100.95 ", 256.46 , 83.81 ," 5,923.71 "," 1,313.50 ", 2.93 
10/30/2017," 1,110.85 ", 259.25 , 83.89 ," 6,151.33 "," 1,319.30 ", 2.88 
10/31/2017," 1,105.28 ", 257.98 , 83.18 ," 6,130.56 "," 1,312.10 ", 2.88 
11/1/2017," 1,103.68 ", 258.50 , 83.18 ," 6,424.52 "," 1,279.20 ", 2.85 
11/2/2017," 1,094.22 ", 262.63 , 84.05 ," 6,879.37 "," 1,279.80 ", 2.83 
11/3/2017," 1,111.60 ", 261.75 , 84.14 ," 7,199.24 "," 1,270.80 ", 2.82 
11/6/2017," 1,120.66 ", 264.07 , 84.47 ," 7,231.93 "," 1,283.30 ", 2.80 
11/7/2017," 1,123.17 ", 266.13 , 84.27 ," 7,123.89 "," 1,277.50 ", 2.77 
11/8/2017," 1,132.88 ", 265.57 , 84.56 ," 7,356.51 "," 1,285.40 ", 2.79 
11/9/2017," 1,129.13 ", 262.70 , 84.09 ," 7,342.82 "," 1,289.20 ", 2.81 
11/10/2017," 1,125.35 ", 260.85 , 83.87 ," 7,250.77 "," 1,275.90 ", 2.88 
11/13/2017," 1,129.17 ", 262.42 , 83.93 ," 5,969.13 "," 1,280.60 ", 2.87 
11/14/2017," 1,136.84 ", 261.76 , 84.05 ," 6,666.27 "," 1,284.60 ", 2.84 
11/15/2017," 1,126.69 ", 262.86 , 82.98 ," 6,867.43 "," 1,279.40 ", 2.77 
11/16/2017," 1,137.29 ", 263.70 , 83.20 ," 7,259.30 "," 1,279.90 ", 2.81 
11/17/2017," 1,129.88 ", 262.26 , 82.40 ," 7,924.18 "," 1,298.20 ", 2.78 
11/20/2017," 1,126.31 ", 264.63 , 82.53 ," 7,954.77 "," 1,277.10 ", 2.78 
11/21/2017," 1,139.49 ", 266.99 , 83.72 ," 7,879.06 "," 1,283.50 ", 2.76 
11/22/2017," 1,156.16 ", 265.15 , 83.11 ," 8,150.63 "," 1,294.10 ", 2.75 
11/24/2017," 1,186.00 ", 265.88 , 83.26 ," 8,094.45 "," 1,289.20 ", 2.76 
11/27/2017," 1,195.83 ", 265.58 , 83.87 ," 9,573.97 "," 1,296.20 ", 2.76 
11/28/2017," 1,193.60 ", 267.99 , 84.88 ," 9,713.10 "," 1,296.60 ", 2.77 
11/29/2017," 1,161.27 ", 269.30 , 83.34 ," 10,295.62 "," 1,283.70 ", 2.81 
11/30/2017," 1,176.75 ", 276.80 , 84.17 ," 10,542.66 "," 1,274.80 ", 2.83 
12/1/2017," 1,162.35 ", 271.38 , 84.26 ," 9,706.10 "," 1,280.20 ", 2.76 
12/4/2017," 1,133.95 ", 277.97 , 81.08 ," 11,382.21 "," 1,275.50 ", 2.77 
12/5/2017," 1,141.57 ", 275.54 , 81.59 ," 11,597.23 "," 1,263.00 ", 2.73 
12/6/2017," 1,152.35 ", 278.27 , 82.78 ," 12,230.37 "," 1,264.30 ", 2.71 
12/7/2017," 1,159.79 ", 281.97 , 82.49 ," 13,734.52 "," 1,251.40 ", 2.76 
12/8/2017," 1,162.00 ", 285.90 , 84.16 ," 16,403.42 "," 1,246.50 ", 2.77 
12/11/2017," 1,168.92 ", 283.16 , 85.23 ," 16,299.30 "," 1,245.10 ", 2.77 
12/12/2017," 1,165.08 ", 289.94 , 85.58 ," 16,374.90 "," 1,239.80 ", 2.79 
12/13/2017," 1,164.13 ", 291.84 , 85.35 ," 16,678.29 "," 1,246.90 ", 2.74 
12/14/2017," 1,174.26 ", 293.88 , 84.69 ," 16,246.14 "," 1,255.30 ", 2.71 
