"zip","city","latitude","longitude"
98415,"Tacoma",47.066193,-122.113223
98416,"Tacoma",47.264577,-122.482076
98418,"Tacoma",47.066193,-122.113223
98421,"Tacoma",47.250681,-122.41213
98422,"Tacoma",47.296007,-122.39835
98424,"Tacoma",47.242186,-122.35916
98431,"Tacoma",47.066193,-122.113223
98433,"Tacoma",47.080682,-122.57987
98434,"Tacoma",47.066193,-122.113223
98438,"Tacoma",47.151297,-122.567631
98439,"Lakewood",47.12562,-122.52294
98442,"Tacoma",47.308061,-122.418495
98443,"Tacoma",47.202874,-122.37678
98444,"Tacoma",47.153571,-122.4485
98445,"Tacoma",47.148269,-122.41196
98446,"Tacoma",47.1309,-122.37589
98447,"Tacoma",47.066193,-122.113223
98450,"Tacoma",47.066193,-122.113223
98455,"Tacoma",47.066193,-122.113223
98460,"Tacoma",47.066193,-122.113223
98464,"Tacoma",47.066193,-122.113223
98465,"Tacoma",47.247735,-122.52818
98466,"Tacoma",47.230402,-122.53272
98471,"Tacoma",47.066193,-122.113223
98477,"Tacoma",47.066193,-122.113223
98481,"Tacoma",47.066193,-122.113223
98492,"Lakewood",47.066193,-122.113223
98493,"Tacoma",47.066193,-122.113223
98494,"Tacoma",47.066193,-122.113223
98497,"Lakewood",47.066193,-122.113223
98498,"Lakewood",47.16062,-122.55877
98499,"Lakewood",47.16632,-122.50844
