Dates,"Tableau Software, Inc. (NYSE:DATA) - Share Pricing"
May-08-2014,55.21
May-09-2014,55.00
May-12-2014,57.85
May-13-2014,54.13
May-14-2014,54.78
May-15-2014,54.39
May-16-2014,54.61
May-19-2014,57.66
May-20-2014,57.11
May-21-2014,57.88
May-22-2014,58.63
May-23-2014,60.60
May-27-2014,62.85
May-28-2014,62.02
May-29-2014,61.50
May-30-2014,58.04
Jun-02-2014,58.09
Jun-03-2014,56.17
Jun-04-2014,56.96
Jun-05-2014,59.78
Jun-06-2014,61.71
Jun-09-2014,61.90
Jun-10-2014,61.36
Jun-11-2014,63.96
Jun-12-2014,63.42
Jun-13-2014,64.14
Jun-16-2014,66.23
Jun-17-2014,65.58
Jun-18-2014,67.69
Jun-19-2014,67.53
Jun-20-2014,67.00
Jun-23-2014,69.31
Jun-24-2014,69.89
Jun-25-2014,70.21
Jun-26-2014,70.64
Jun-27-2014,70.00
Jun-30-2014,71.33
Jul-01-2014,72.14
Jul-02-2014,71.89
Jul-03-2014,69.14
Jul-07-2014,67.24
Jul-08-2014,60.42
Jul-09-2014,61.43
Jul-10-2014,60.96
Jul-11-2014,61.02
Jul-14-2014,63.79
Jul-15-2014,61.05
Jul-16-2014,61.00
Jul-17-2014,59.68
Jul-18-2014,59.69
Jul-21-2014,60.93
Jul-22-2014,61.62
Jul-23-2014,62.44
Jul-24-2014,63.98
Jul-25-2014,64.80
Jul-28-2014,64.54
Jul-29-2014,64.72
Jul-30-2014,67.64
Jul-31-2014,65.00
Aug-01-2014,61.94
Aug-04-2014,63.42
Aug-05-2014,62.52
Aug-06-2014,61.34
Aug-07-2014,61.31
Aug-08-2014,60.14
Aug-11-2014,59.41
Aug-12-2014,58.24
Aug-13-2014,61.22
Aug-14-2014,60.23
Aug-15-2014,58.99
Aug-18-2014,60.65
Aug-19-2014,61.76
Aug-20-2014,61.38
Aug-21-2014,59.68
Aug-22-2014,60.98
Aug-25-2014,59.97
Aug-26-2014,61.49
Aug-27-2014,62.29
Aug-28-2014,60.45
Aug-29-2014,65.49
Sep-02-2014,68.18
Sep-03-2014,67.51
Sep-04-2014,67.15
Sep-05-2014,69.38
Sep-08-2014,69.97
Sep-09-2014,69.73
Sep-10-2014,72.85
Sep-11-2014,75.55
Sep-12-2014,77.16
Sep-15-2014,71.37
Sep-16-2014,73.39
Sep-17-2014,73.00
Sep-18-2014,72.04
Sep-19-2014,73.26
Sep-22-2014,72.07
Sep-23-2014,70.91
Sep-24-2014,73.02
Sep-25-2014,70.98
Sep-26-2014,71.76
Sep-29-2014,73.01
Sep-30-2014,72.65
Oct-01-2014,68.03
Oct-02-2014,69.35
Oct-03-2014,70.22
Oct-06-2014,71.15
Oct-07-2014,71.24
Oct-08-2014,72.46
Oct-09-2014,72.66
Oct-10-2014,67.62
Oct-13-2014,64.74
Oct-14-2014,65.99
Oct-15-2014,66.38
Oct-16-2014,68.03
Oct-17-2014,70.54
Oct-20-2014,71.56
Oct-21-2014,75.50
Oct-22-2014,72.76
Oct-23-2014,75.06
Oct-24-2014,77.90
Oct-27-2014,77.71
Oct-28-2014,81.19
Oct-29-2014,79.76
Oct-30-2014,80.69
Oct-31-2014,82.59
Nov-03-2014,81.30
Nov-04-2014,80.49
Nov-05-2014,76.50
Nov-06-2014,84.29
Nov-07-2014,84.92
Nov-10-2014,83.55
Nov-11-2014,84.05
Nov-12-2014,83.45
Nov-13-2014,82.59
Nov-14-2014,84.83
Nov-17-2014,83.31
Nov-18-2014,82.10
Nov-19-2014,80.23
Nov-20-2014,80.52
Nov-21-2014,81.75
Nov-24-2014,83.05
Nov-25-2014,82.13
Nov-26-2014,83.86
Nov-28-2014,83.88
Dec-01-2014,81.81
Dec-02-2014,82.80
Dec-03-2014,81.27
Dec-04-2014,81.05
Dec-05-2014,81.79
Dec-08-2014,80.39
Dec-09-2014,82.20
Dec-10-2014,81.75
Dec-11-2014,83.22
Dec-12-2014,80.59
Dec-15-2014,81.58
Dec-16-2014,80.32
Dec-17-2014,85.87
Dec-18-2014,88.80
