Dates,"Tableau Software, Inc. (NYSE:DATA) - Share Pricing"
Aug-23-2017,71.53
Aug-24-2017,72.03
Aug-25-2017,71.81
Aug-28-2017,71.68
Aug-29-2017,71.52
Aug-30-2017,72.00
Aug-31-2017,72.48
Sep-01-2017,72.66
Sep-05-2017,71.98
Sep-06-2017,72.12
Sep-07-2017,72.24
Sep-08-2017,72.85
Sep-11-2017,74.80
Sep-12-2017,75.63
Sep-13-2017,75.41
Sep-14-2017,75.23
Sep-15-2017,75.02
Sep-18-2017,75.97
Sep-19-2017,75.57
Sep-20-2017,75.25
Sep-21-2017,75.43
Sep-22-2017,75.58
Sep-25-2017,73.89
Sep-26-2017,73.83
Sep-27-2017,75.65
Sep-28-2017,74.57
Sep-29-2017,74.89
Oct-02-2017,75.39
Oct-03-2017,75.98
Oct-04-2017,76.12
Oct-05-2017,76.90
Oct-06-2017,77.38
Oct-09-2017,77.65
Oct-10-2017,76.23
Oct-11-2017,76.94
Oct-12-2017,77.22
Oct-13-2017,77.67
Oct-16-2017,78.33
Oct-17-2017,79.02
Oct-18-2017,78.67
Oct-19-2017,78.62
Oct-20-2017,78.78
Oct-23-2017,79.15
Oct-24-2017,78.86
Oct-25-2017,78.30
Oct-26-2017,79.38
Oct-27-2017,79.34
Oct-30-2017,79.53
Oct-31-2017,81.09
Nov-01-2017,80.76
Nov-02-2017,82.17
Nov-03-2017,74.60
Nov-06-2017,71.40
Nov-07-2017,70.27
Nov-08-2017,71.25
Nov-09-2017,71.64
Nov-10-2017,72.15
Nov-13-2017,71.24
Nov-14-2017,71.18
Nov-15-2017,70.35
Nov-16-2017,70.31
Nov-17-2017,70.19
Nov-20-2017,70.10
Nov-21-2017,69.68
Nov-22-2017,69.43
Nov-24-2017,70.07
Nov-27-2017,70.39
Nov-28-2017,70.94
Nov-29-2017,68.96
Nov-30-2017,70.30
Dec-01-2017,70.32
Dec-04-2017,68.77
Dec-05-2017,69.87
Dec-06-2017,70.76
Dec-07-2017,71.61
Dec-08-2017,71.59
Dec-11-2017,71.19
Dec-12-2017,70.67
Dec-13-2017,70.10
Dec-14-2017,69.39
Dec-15-2017,70.63
Dec-18-2017,71.06
Dec-19-2017,70.68
Dec-20-2017,70.06
Dec-21-2017,70.75
Dec-22-2017,70.19
Dec-26-2017,70.71
Dec-27-2017,70.57
Dec-28-2017,70.36
Dec-29-2017,69.20
Jan-02-2018,70.21
Jan-03-2018,71.61
Jan-04-2018,70.28
Jan-05-2018,70.28
Jan-08-2018,70.63
Jan-09-2018,70.80
Jan-10-2018,72.69
Jan-11-2018,73.70
Jan-12-2018,74.52
Jan-16-2018,73.20
Jan-17-2018,74.07
Jan-18-2018,73.04
Jan-19-2018,73.95
Jan-22-2018,74.42
Jan-23-2018,73.57
Jan-24-2018,73.31
Jan-25-2018,74.95
Jan-26-2018,76.82
Jan-29-2018,77.15
Jan-30-2018,76.06
Jan-31-2018,76.81
Feb-01-2018,77.09
Feb-02-2018,84.01
Feb-05-2018,80.12
Feb-06-2018,79.30
Feb-07-2018,77.83
Feb-08-2018,76.15
Feb-09-2018,77.35
Feb-12-2018,78.98
Feb-13-2018,79.80
Feb-14-2018,81.79
Feb-15-2018,83.32
Feb-16-2018,82.15
Feb-20-2018,82.66
Feb-21-2018,82.16
Feb-22-2018,81.94
Feb-23-2018,83.28
Feb-26-2018,83.45
Feb-27-2018,81.76
Feb-28-2018,81.67
Mar-01-2018,81.48
Mar-02-2018,83.02
Mar-05-2018,85.80
Mar-06-2018,84.36
Mar-07-2018,84.41
Mar-08-2018,85.73
Mar-09-2018,86.64
Mar-12-2018,86.41
Mar-13-2018,84.22
Mar-14-2018,84.67
Mar-15-2018,84.54
Mar-16-2018,83.33
Mar-19-2018,82.56
Mar-20-2018,83.59
Mar-21-2018,84.10
Mar-22-2018,82.80
Mar-23-2018,81.41
Mar-26-2018,84.24
Mar-27-2018,81.50
Mar-28-2018,79.20
Mar-29-2018,80.82
Apr-02-2018,78.54
Apr-03-2018,79.48
Apr-04-2018,79.90
Apr-05-2018,80.37
Apr-06-2018,78.39
Apr-09-2018,77.82
Apr-10-2018,78.86
Apr-11-2018,79.64
Apr-12-2018,81.16
Apr-13-2018,79.92
Apr-16-2018,81.18
Apr-17-2018,84.46
Apr-18-2018,85.11
Apr-19-2018,84.39
Apr-20-2018,83.82
Apr-23-2018,84.87
Apr-24-2018,81.98
Apr-25-2018,81.41
Apr-26-2018,83.61
Apr-27-2018,84.09
Apr-30-2018,85.05
May-01-2018,84.78
May-02-2018,85.18
May-03-2018,90.79
May-04-2018,91.00
May-07-2018,90.99
May-08-2018,93.10
May-09-2018,95.21
May-10-2018,94.99
May-11-2018,95.00
May-14-2018,92.08
May-15-2018,92.49
May-16-2018,92.76
May-17-2018,93.49
May-18-2018,94.43
May-21-2018,93.79
May-22-2018,94.27
May-23-2018,95.82
May-24-2018,97.38
May-25-2018,98.56
May-29-2018,98.00
May-30-2018,99.36
May-31-2018,98.87
Jun-01-2018,98.53
Jun-04-2018,99.62
Jun-05-2018,100.66
Jun-06-2018,100.65
Jun-07-2018,98.07
Jun-08-2018,98.75
Jun-11-2018,99.88
Jun-12-2018,101.17
Jun-13-2018,101.30
Jun-14-2018,102.04
Jun-15-2018,103.13
Jun-18-2018,104.48
Jun-19-2018,104.29
Jun-20-2018,104.13
Jun-21-2018,100.89
Jun-22-2018,97.18
Jun-25-2018,93.67
Jun-26-2018,96.35
Jun-27-2018,93.65
Jun-28-2018,97.34
Jun-29-2018,97.75
Jul-02-2018,99.87
Jul-03-2018,99.94
Jul-05-2018,101.07
Jul-06-2018,102.68
Jul-09-2018,103.82
Jul-10-2018,103.89
Jul-11-2018,106.29
Jul-12-2018,108.89
Jul-13-2018,108.77
Jul-16-2018,108.57
Jul-17-2018,110.23
Jul-18-2018,111.13
Jul-19-2018,110.46
Jul-20-2018,110.60
Jul-23-2018,111.72
Jul-24-2018,108.32
Jul-25-2018,110.79
Jul-26-2018,111.02
Jul-27-2018,107.64
Jul-30-2018,102.17
Jul-31-2018,103.07
Aug-01-2018,106.14
Aug-02-2018,110.16
Aug-03-2018,102.84
Aug-06-2018,103.94
Aug-07-2018,103.28
Aug-08-2018,101.45
Aug-09-2018,103.67
Aug-10-2018,103.70
Aug-13-2018,101.95
Aug-14-2018,103.19
Aug-15-2018,102.62
Aug-16-2018,101.26
Aug-17-2018,98.54
Aug-20-2018,100.12
Aug-21-2018,102.51
Aug-22-2018,102.58
Aug-23-2018,103.19
Aug-24-2018,107.98
Aug-27-2018,106.48
Aug-28-2018,107.75
Aug-29-2018,111.31
Aug-30-2018,110.99
Aug-31-2018,111.86
Sep-04-2018,114.05
Sep-05-2018,111.67
Sep-06-2018,113.04
Sep-07-2018,113.90
Sep-10-2018,112.51
Sep-11-2018,115.03
Sep-12-2018,115.09
Sep-13-2018,116.16
Sep-14-2018,115.55
Sep-17-2018,110.86
Sep-18-2018,113.74
Sep-19-2018,111.16
Sep-20-2018,111.73
Sep-21-2018,110.18
Sep-24-2018,110.96
Sep-25-2018,113.66
Sep-26-2018,114.26
Sep-27-2018,113.33
Sep-28-2018,111.74
Oct-01-2018,111.31
Oct-02-2018,106.99
Oct-03-2018,107.53
Oct-04-2018,105.94
Oct-05-2018,105.70
Oct-08-2018,100.67
Oct-09-2018,101.36
Oct-10-2018,96.39
Oct-11-2018,97.15
Oct-12-2018,100.92
Oct-15-2018,101.78
Oct-16-2018,104.94
Oct-17-2018,104.48
Oct-18-2018,101.96
Oct-19-2018,99.64
Oct-22-2018,100.74
Oct-23-2018,101.45
Oct-24-2018,96.90
Oct-25-2018,99.69
Oct-26-2018,96.77
Oct-29-2018,96.56
Oct-30-2018,101.36
Oct-31-2018,106.68
Nov-01-2018,108.89
Nov-02-2018,106.83
Nov-05-2018,106.60
Nov-06-2018,105.03
Nov-07-2018,121.16
Nov-08-2018,119.66
Nov-09-2018,114.11
Nov-12-2018,110.90
Nov-13-2018,112.53
Nov-14-2018,112.46
Nov-15-2018,117.75
Nov-16-2018,116.04
Nov-19-2018,104.12
Nov-20-2018,104.88
Nov-21-2018,107.61
Nov-23-2018,108.60
Nov-26-2018,112.53
Nov-27-2018,112.46
Nov-28-2018,118.81
Nov-29-2018,122.28
Nov-30-2018,124.64
Dec-03-2018,127.43
Dec-04-2018,123.69
Dec-06-2018,127.97
Dec-07-2018,123.43
Dec-10-2018,127.13
Dec-11-2018,127.41
Dec-12-2018,128.83
Dec-13-2018,130.84
Dec-14-2018,128.88
Dec-17-2018,120.06
Dec-18-2018,121.59
Dec-19-2018,121.95
Dec-20-2018,119.29
Dec-21-2018,112.28
Dec-24-2018,110.26
Dec-26-2018,118.80
Dec-27-2018,119.90
Dec-28-2018,118.26
Dec-31-2018,120.00
Jan-01-2019,120.00
Jan-02-2019,118.60
Jan-03-2019,115.72
Jan-04-2019,124.83
Jan-07-2019,123.97
Jan-08-2019,123.99
Jan-09-2019,122.91
Jan-10-2019,121.70
Jan-11-2019,119.61
Jan-14-2019,117.51
Jan-15-2019,122.31
Jan-16-2019,117.88
Jan-17-2019,121.28
Jan-18-2019,123.68
Jan-21-2019,123.68
Jan-22-2019,119.86
Jan-23-2019,121.14
Jan-24-2019,121.76
Jan-25-2019,128.96
Jan-28-2019,125.96
Jan-29-2019,124.66
Jan-30-2019,128.07
Jan-31-2019,127.84
Feb-01-2019,130.43
Feb-04-2019,132.07
Feb-05-2019,132.96
Feb-06-2019,123.98
Feb-07-2019,121.54
Feb-08-2019,122.24
Feb-11-2019,120.92
Feb-12-2019,125.78
Feb-13-2019,126.17
Feb-14-2019,130.02
Feb-15-2019,129.34
Feb-18-2019,129.34
Feb-19-2019,126.97
Feb-20-2019,127.04
Feb-21-2019,130.40
Feb-22-2019,132.87
Feb-25-2019,134.39
Feb-26-2019,129.98
Feb-27-2019,131.16
Feb-28-2019,131.90
Mar-01-2019,132.47
Mar-04-2019,125.18
Mar-05-2019,124.50
Mar-06-2019,123.10
Mar-07-2019,123.61
Mar-08-2019,124.10
Mar-11-2019,127.06
Mar-12-2019,128.50
Mar-13-2019,129.77
Mar-14-2019,130.44
Mar-15-2019,130.48
Mar-18-2019,132.07
Mar-19-2019,133.52
Mar-20-2019,132.74
Mar-21-2019,136.64
Mar-22-2019,127.85
Mar-25-2019,126.16
Mar-26-2019,127.14
Mar-27-2019,122.80
Mar-28-2019,124.31
Mar-29-2019,127.28
Apr-01-2019,129.43
Apr-02-2019,129.50
Apr-03-2019,129.92
Apr-04-2019,123.61
Apr-05-2019,123.99
Apr-08-2019,123.58
Apr-09-2019,123.24
Apr-10-2019,126.51
Apr-11-2019,125.41
Apr-12-2019,124.00
Apr-15-2019,125.85
Apr-16-2019,124.60
Apr-17-2019,121.31
Apr-18-2019,118.57
Apr-19-2019,118.57
Apr-22-2019,119.43
Apr-23-2019,119.85
Apr-24-2019,119.80
Apr-25-2019,118.95
Apr-26-2019,120.70
Apr-29-2019,120.56
Apr-30-2019,121.81
May-01-2019,120.74
May-02-2019,120.26
May-03-2019,125.81
May-06-2019,122.65
May-07-2019,121.85
May-08-2019,123.33
May-09-2019,122.99
May-10-2019,124.00
May-13-2019,116.67
May-14-2019,119.78
May-15-2019,121.46
May-16-2019,123.04
May-17-2019,121.78
May-20-2019,119.03
May-21-2019,117.70
May-22-2019,116.55
May-23-2019,112.52
May-24-2019,112.94
May-27-2019,112.94
May-28-2019,113.96
May-29-2019,113.88
May-30-2019,113.01
May-31-2019,112.47
Jun-03-2019,108.26
Jun-04-2019,112.48
Jun-05-2019,121.60
Jun-06-2019,117.10
Jun-07-2019,125.21
Jun-10-2019,167.41
Jun-11-2019,164.23
Jun-12-2019,165.62
Jun-13-2019,165.38
Jun-14-2019,163.25
Jun-17-2019,164.11
Jun-18-2019,164.43
Jun-19-2019,168.43
Jun-20-2019,171.89
Jun-21-2019,170.86
Jun-24-2019,166.40
Jun-25-2019,162.74
Jun-26-2019,162.10
Jun-27-2019,164.39
Jun-28-2019,166.02
Jul-01-2019,168.11
Jul-02-2019,168.99
Jul-03-2019,171.02
Jul-04-2019,171.02
Jul-05-2019,169.82
Jul-08-2019,167.76
Jul-09-2019,168.95
Jul-10-2019,171.59
Jul-11-2019,174.17
Jul-12-2019,173.64
Jul-15-2019,175.41
Jul-16-2019,172.46
Jul-17-2019,174.22
Jul-18-2019,173.82
Jul-19-2019,172.59
Jul-22-2019,173.57
Jul-23-2019,172.05
Jul-24-2019,175.93
Jul-25-2019,175.30
Jul-26-2019,176.14
Jul-29-2019,172.18
Jul-30-2019,173.04
Jul-31-2019,169.53
