,Date,Region,pct_change
120,2013-02-28,Bainbridge Island,17.411764705882348
121,2013-03-31,Bainbridge Island,-2.8056112224448926
122,2013-04-30,Bainbridge Island,-4.123711340206182
123,2013-05-31,Bainbridge Island,10.752688172043001
124,2013-06-30,Bainbridge Island,-1.1650485436893177
125,2013-07-31,Bainbridge Island,4.125736738703334
126,2013-08-31,Bainbridge Island,4.716981132075482
127,2013-09-30,Bainbridge Island,-16.216216216216218
128,2013-10-31,Bainbridge Island,10.322580645161295
129,2013-11-30,Bainbridge Island,-5.847953216374268
130,2013-12-31,Bainbridge Island,1.449275362318847
131,2014-01-31,Bainbridge Island,-6.122448979591832
132,2014-02-28,Bainbridge Island,38.69565217391304
133,2014-03-31,Bainbridge Island,-9.404388714733546
134,2014-04-30,Bainbridge Island,-11.245674740484423
135,2014-05-31,Bainbridge Island,5.263157894736836
136,2014-06-30,Bainbridge Island,3.3333333333333437
137,2014-07-31,Bainbridge Island,-8.064516129032262
138,2014-08-31,Bainbridge Island,17.543859649122815
139,2014-09-30,Bainbridge Island,-5.8043117744610235
140,2014-10-31,Bainbridge Island,-9.507042253521124
141,2014-11-30,Bainbridge Island,35.99221789883269
142,2014-12-31,Bainbridge Island,-31.759656652360512
143,2015-01-31,Bainbridge Island,23.060796645702307
144,2015-02-28,Bainbridge Island,0.5110732538330387
145,2015-03-31,Bainbridge Island,12.033898305084744
146,2015-04-30,Bainbridge Island,-6.656580937972767
147,2015-05-31,Bainbridge Island,1.7828200972447306
148,2015-06-30,Bainbridge Island,-1.1146496815286677
149,2015-07-31,Bainbridge Island,6.2801932367149815
150,2015-08-31,Bainbridge Island,-24.242424242424242
151,2015-09-30,Bainbridge Island,45.4
152,2015-10-31,Bainbridge Island,-5.089408528198069
153,2015-11-30,Bainbridge Island,-0.5797101449275366
154,2015-12-31,Bainbridge Island,-0.1457725947521915
155,2016-01-31,Bainbridge Island,-20.875912408759124
156,2016-02-29,Bainbridge Island,19.74169741697418
157,2016-03-31,Bainbridge Island,4.006163328197232
158,2016-04-30,Bainbridge Island,1.0370370370370363
159,2016-05-31,Bainbridge Island,12.75659824046922
160,2016-06-30,Bainbridge Island,-23.016905071521453
161,2016-07-31,Bainbridge Island,14.864864864864868
162,2016-08-31,Bainbridge Island,-10.441176470588232
163,2016-09-30,Bainbridge Island,12.479474548440074
164,2016-10-31,Bainbridge Island,-11.094890510948908
165,2016-11-30,Bainbridge Island,12.643678160919535
166,2016-12-31,Bainbridge Island,1.1661807580174877
167,2017-01-31,Bainbridge Island,-19.164265129683
168,2017-02-28,Bainbridge Island,14.081996434937615
169,2017-03-31,Bainbridge Island,8.281249999999996
170,2017-04-30,Bainbridge Island,9.379509379509376
171,2017-05-31,Bainbridge Island,3.16622691292876
172,2017-06-30,Bainbridge Island,4.859335038363177
173,2017-07-31,Bainbridge Island,-1.8292682926829285
174,2017-08-31,Bainbridge Island,13.664596273291929
175,2017-09-30,Bainbridge Island,-21.420765027322407
176,2017-10-31,Bainbridge Island,22.253129346314317
177,2017-11-30,Bainbridge Island,-9.101251422070533
178,2017-12-31,Bainbridge Island,8.1351689612015
179,2018-01-31,Bainbridge Island,-4.1666666666666625
180,2018-02-28,Bainbridge Island,1.2077294685990392
181,2018-03-31,Bainbridge Island,-2.7446300715990413
182,2018-04-30,Bainbridge Island,0.9815950920245342
183,2018-05-31,Bainbridge Island,-2.1871202916160404
184,2018-06-30,Bainbridge Island,18.633540372670797
185,2018-07-31,Bainbridge Island,-13.926701570680633
186,2018-08-31,Bainbridge Island,0.24330900243310083
187,2018-09-30,Bainbridge Island,17.111650485436904
188,2018-10-31,Bainbridge Island,-27.56476683937824
189,2018-11-30,Bainbridge Island,38.48354792560802
190,2018-12-31,Bainbridge Island,-19.42148760330579
191,2019-01-31,Bainbridge Island,-18.58974358974359
192,2019-02-28,Bainbridge Island,30.393700787401578
193,2019-03-31,Bainbridge Island,-11.231884057971019
194,2019-04-30,Bainbridge Island,24.89795918367348
195,2019-05-31,Bainbridge Island,6.644880174291945
196,2019-06-30,Bainbridge Island,-15.73033707865169
197,2019-07-31,Bainbridge Island,9.45454545454545
198,2019-08-31,Bainbridge Island,-17.607973421926914
199,2019-09-30,Bainbridge Island,22.8494623655914
200,2019-10-31,Bainbridge Island,2.6258205689277947
201,2019-11-30,Bainbridge Island,-15.245202558635395
202,2019-12-31,Bainbridge Island,-14.33962264150943
203,2020-01-31,Bainbridge Island,17.914831130690168
204,2020-02-29,Bainbridge Island,30.759651307596503
205,2020-03-31,Bainbridge Island,-31.999999999999996
206,2020-04-30,Bainbridge Island,28.57142857142858
207,2020-05-31,Bainbridge Island,-3.5947712418300637
208,2020-06-30,Bainbridge Island,12.655367231638426
209,2020-07-31,Bainbridge Island,-10.230692076228687
210,2020-08-31,Bainbridge Island,12.290502793296088
211,2020-09-30,Bainbridge Island,8.159203980099505
212,2020-10-31,Bainbridge Island,-10.763569457221712
213,2020-11-30,Bainbridge Island,-12.474226804123711
214,2020-12-31,Bainbridge Island,-0.824499411071844
215,2021-01-31,Bainbridge Island,3.562945368171011
216,2012-02-29,Bellevue,12.972972972972974
217,2012-03-31,Bellevue,6.459330143540676
218,2012-04-30,Bellevue,3.370786516853941
219,2012-05-31,Bellevue,5.434782608695654
220,2012-06-30,Bellevue,1.6494845360824684
221,2012-07-31,Bellevue,3.0425963488843744
222,2012-08-31,Bellevue,-0.19685039370078705
223,2012-09-30,Bellevue,-0.7889546351084853
224,2012-10-31,Bellevue,-0.5964214711729587
225,2012-11-30,Bellevue,2.6000000000000023
226,2012-12-31,Bellevue,-4.873294346978563
227,2013-01-31,Bellevue,12.090163934426235
228,2013-02-28,Bellevue,-13.162705667276054
229,2013-03-31,Bellevue,11.578947368421044
230,2013-04-30,Bellevue,3.018867924528301
231,2013-05-31,Bellevue,4.395604395604402
232,2013-06-30,Bellevue,-0.7017543859649145
233,2013-07-31,Bellevue,-7.067137809187274
234,2013-08-31,Bellevue,9.885931558935358
235,2013-09-30,Bellevue,-6.92041522491349
236,2013-10-31,Bellevue,-6.133828996282531
237,2013-11-30,Bellevue,5.148514851485153
238,2013-12-31,Bellevue,-1.5065913370998163
239,2014-01-31,Bellevue,-3.824091778202676
240,2014-02-28,Bellevue,4.771371769383692
241,2014-03-31,Bellevue,4.36432637571158
242,2014-04-30,Bellevue,1.6363636363636358
243,2014-05-31,Bellevue,17.17352415026834
244,2014-06-30,Bellevue,3.511450381679393
245,2014-07-31,Bellevue,-8.55457227138643
246,2014-08-31,Bellevue,-0.4838709677419395
247,2014-09-30,Bellevue,6.158833063209079
248,2014-10-31,Bellevue,-6.259541984732819
249,2014-11-30,Bellevue,5.374592833876224
250,2014-12-31,Bellevue,7.418856259659967
251,2015-01-31,Bellevue,-14.244604316546761
252,2015-02-28,Bellevue,4.026845637583887
253,2015-03-31,Bellevue,4.516129032258065
254,2015-04-30,Bellevue,0.30864197530864335
255,2015-05-31,Bellevue,0.4615384615384688
256,2015-06-30,Bellevue,1.8376722817764257
257,2015-07-31,Bellevue,-1.8045112781954864
258,2015-08-31,Bellevue,4.134762633996947
259,2015-09-30,Bellevue,-8.529411764705886
260,2015-10-31,Bellevue,-5.787781350482312
261,2015-11-30,Bellevue,12.627986348122878
262,2015-12-31,Bellevue,-9.090909090909093
263,2016-01-31,Bellevue,18.500000000000007
264,2016-02-29,Bellevue,3.797468354430378
265,2016-03-31,Bellevue,-1.7615176151761558
