Date,AMZN,BA,MSFT,BTC,Gold,30 T-Bond,Median Sale Price
2012-02-29,,,,,,,
2012-03-31,0.1269964939618231,-0.007738492328218771,0.016383112791430454,,-0.024641733659559573,0.08766233766233777,0.012017159858271897
2012-04-30,0.1451286356229322,0.03267446551028641,-0.00743955362678228,,-0.004658663321985279,-0.06865671641791049,0.04025965945705434
2012-05-31,-0.08188874514877109,-0.09361979166666667,-0.08838226108682079,,-0.06138613861386133,-0.14423076923076927,0.028705197046573705
2012-06-30,0.07251890470151712,0.06737537710099128,0.04796163069544357,,0.025572177470911672,0.033707865168539186,-0.009672660911202002
2012-07-31,0.021677249835778456,-0.005248990578734847,-0.03661327231121281,,0.00511158209699536,-0.0724637681159419,-0.005141469421981237
2012-08-31,0.06416630947278179,-0.033960221891489506,0.04580929759077024,,0.04521210617712712,0.046875,0.0220376456302962
2012-09-30,0.024368630926007828,-0.025210084033613578,-0.03439325113562619,,0.053877647896516834,0.05223880597014907,-0.020487472473062374
2012-10-31,-0.084263919471532,0.012068965517241459,-0.04099462365591411,,-0.030854118574404565,0.010638297872340496,0.008933027702360041
2012-11-30,0.08227059985400853,0.054514480408858645,-0.0672740014015416,,-0.004996223784348941,-0.01403508771929829,-0.0036991327936665153
2012-12-31,-0.004681610791509638,0.01453957996768973,0.003380916604057038,,-0.02154492905937999,0.04982206405693956,-0.005048563232080139
2013-01-31,0.05831705664288278,-0.019771762208067867,0.027704979408461172,,-0.008234872896527023,0.07457627118644061,0.027240956298200558
2013-02-28,-0.004632768361581996,0.04101800460268046,0.012750455373406355,,-0.05048134777376656,-0.02208201892744477,0.029813586575342166
2013-03-31,0.008400499489158886,0.11638491547464214,0.029136690647481922,,0.012229896711235089,0.0,0.03005864635362565
2013-04-30,-0.047581522758827766,0.06476412347117066,0.1569381335197484,,-0.07806435457618632,-0.07096774193548394,0.006545822701470749
2013-05-31,0.06063590875064029,0.08325128541735038,0.05438066465256797,,-0.054254091125144344,0.14583333333333326,0.026488272481890895
2013-06-30,0.03153789004457663,0.0345384770753383,-0.01002865329512903,,-0.12133831131533601,0.06666666666666665,0.020439952663023675
2013-07-31,0.08473477618927583,0.02596641936743449,-0.07843704775687399,,0.07239745056381763,0.03409090909090917,-0.012375889118497407
2013-08-31,-0.06719341345196206,-0.011227402473834358,0.04899497487437188,,0.06362389515391653,0.016483516483516425,0.03484346349654821
2013-09-30,0.11267705886539958,0.1306774441878369,-0.003592814371257358,,-0.04950211333190069,-0.002702702702702786,-0.05726665475489334
2013-10-31,0.16437436028659147,0.11063829787234036,0.06400240384615374,,-0.002034971359662352,-0.016260162601625994,-0.009605109893821573
2013-11-30,0.08128450951844646,0.028735632183908066,0.07681445919231877,4.450260177532904,-0.05558492560984818,0.052341597796143224,0.02709628398012809
2013-12-31,0.013134495198414697,0.01668528864059593,-0.018882769472856165,-0.30344640383391364,-0.03886445421831264,0.03664921465968596,-0.03773531427490007
2014-01-31,-0.10055417638356035,-0.0822770898966958,0.011494252873563315,0.1307765698697878,0.03153340544138428,-0.08838383838383845,0.03054991711718169
2014-02-28,0.009506816471047452,0.029219224014050527,0.012420718816067655,-0.3258505745760497,0.06581706726891445,-0.005540166204986208,0.04347437473422233
2014-03-31,-0.07105771886219281,-0.026605646912814085,0.0699556251631428,-0.16712792398949383,-0.028530346602088752,-0.00835654596100277,0.031992342449949085
2014-04-30,-0.09584683533014238,0.028129731452705586,-0.014393754574286488,-0.05845750084659673,0.009270078678818905,-0.0252808988764045,0.014263796365623582
2014-05-31,0.027685529214480642,0.048287087273290785,0.013366336633663378,0.28546059434428805,-0.03365236184007403,-0.04034582132564846,-0.008560946565659311
2014-06-30,0.03912973924172114,-0.059297597042513805,0.01856375183194925,0.04487190696861054,0.05902555910543139,0.0030030030030030463,0.0001233373802007609
2014-07-31,-0.036301496397561306,-0.0530535251120019,0.035011990407673776,-0.05512878445549019,-0.03333584734897055,-0.005988023952095856,-0.0002695415873972262
2014-08-31,0.08322949615003683,0.052456839309428904,0.05259499536607981,-0.10368953362736255,0.007568073652180818,-0.06927710843373491,-0.007286059587272353
2014-09-30,-0.0489617744218972,0.004574132492113581,0.020471054369359365,-0.25680295634646166,-0.0568375406535544,0.03883495145631066,-0.0026263329615821007
2014-10-31,-0.05266096017863797,-0.01939079918354525,0.01272648835202772,-0.0864709636247607,-0.03530377668308704,-0.04361370716510904,0.04182317388214574
2014-11-30,0.10862306030249469,0.07565447121927793,0.018317358892438795,0.07398998719292127,0.001957446808510621,-0.05863192182410415,-0.020297107205886844
2014-12-31,-0.08354004252303315,-0.03259898779398651,-0.028445931813428138,-0.1601170795165051,0.0077295506667800495,-0.04844290657439454,-0.00013889669247801884
2015-01-31,0.1423554051876912,0.11840283120480088,-0.13024757804090425,-0.24769280413036465,0.07998988536749829,-0.18181818181818177,-0.030380519766796565
2015-02-28,0.07229289481849221,0.037696911329710314,0.08539603960396036,0.07785021875268083,-0.0514321392335908,0.15555555555555567,0.053499157889730364
2015-03-31,-0.021201599326599374,-0.005104408352668122,-0.0727480045610035,-0.016037247801345078,-0.02509461905545496,-0.023076923076923106,0.056978566712088785
2015-04-30,0.13351249664068776,-0.04490938166311309,0.1962616822429908,-0.08598236673946447,-0.001687906152417873,0.08267716535433078,-0.012988527291038277
2015-05-31,0.0176632367584999,-0.019673503557974037,-0.036595394736842146,0.049690265486725727,0.005664045988671651,0.04727272727272713,0.03882641679878418
