Region,Year of Period End,Median Sale Price
Kenmore,2016,541831.25
Kenmore,2015,503852.0833
Kenmore,2014,418643.3333
Kenmore,2013,385586.75
Kenmore,2012,356067.9545
Lynnwood,2021,657475
Lynnwood,2020,552453.5833
Lynnwood,2018,496434.4583
Lynnwood,2019,492070.0417
Lynnwood,2017,440756.25
Lynnwood,2016,381354.1667
Lynnwood,2015,348326.6667
Lynnwood,2014,327489.1667
Lynnwood,2013,293944.375
Lynnwood,2012,243076.9091
Sammamish,2021,1246329.5
Sammamish,2020,1064373.458
Sammamish,2018,947689.8333
Sammamish,2019,944340.2917
Sammamish,2017,884311.8333
Sammamish,2016,776212.5
Sammamish,2015,685421.75
Sammamish,2014,652676.75
Sammamish,2013,586062.75
Sammamish,2012,529062.9545
Issaquah,2020,780829.0833
Issaquah,2018,770749.1667
Issaquah,2021,749141.25
Issaquah,2019,722495.8333
Issaquah,2017,676100
Issaquah,2016,570597.8333
Issaquah,2015,506614.5
Issaquah,2014,457612.7917
Issaquah,2013,443553.9583
Issaquah,2012,399085.4545
Snoqualmie,2021,815006.75
Snoqualmie,2020,778566.6667
Snoqualmie,2018,717287.9167
Snoqualmie,2019,673185
Snoqualmie,2017,670467.1667
Snoqualmie,2016,561474.9167
Snoqualmie,2015,514198.75
Snoqualmie,2014,479425.375
Snoqualmie,2013,438279.625
Snoqualmie,2012,419059.8182
North Bend,2021,942412.5
North Bend,2020,767067.5417
North Bend,2019,692671.4583
North Bend,2018,626862.3333
North Bend,2017,550219.9167
North Bend,2016,493061.0417
North Bend,2015,422639.5833
North Bend,2013,391605.2083
North Bend,2014,390907.5833
North Bend,2012,309154.0909
Marysville,2021,512487.5
Marysville,2020,447422.0833
Marysville,2019,397429.1667
Marysville,2018,371372.9167
Marysville,2017,332983.3333
Marysville,2016,302014.5833
Marysville,2015,263366.6667
Marysville,2014,249439.5833
Marysville,2013,225755.3333
Marysville,2012,188861.8182
Renton,2021,553000
Renton,2020,536778.375
Renton,2019,508203.9583
Renton,2018,468112.4167
Renton,2017,435652.0833
Renton,2016,394030
Renton,2015,346180.8333
Renton,2014,318391.6667
Renton,2013,291491.6667
Renton,2012,260731.7273
Everett,2021,476000
Everett,2020,460875
Everett,2019,411266.6667
Everett,2018,395414.375
Everett,2017,352156.0417
Everett,2016,319315
Everett,2015,288306.25
Everett,2014,256138.5
Everett,2013,240287.5
Everett,2012,202340.9091
Kent,2021,518225
Kent,2020,470020.8333
Kent,2019,429985.4167
Kent,2018,415056.25
Kent,2017,372590.625
Kent,2016,333916.6667
Kent,2015,299170.8333
Kent,2014,261060.2917
Kent,2013,248025
Kent,2012,218572.2727
SeaTac,2021,515000
SeaTac,2020,428759.1667
SeaTac,2019,408870.6667
SeaTac,2018,366541.6667
SeaTac,2017,347516.6667
SeaTac,2016,288250
SeaTac,2015,239017.9167
SeaTac,2014,214125
SeaTac,2013,202079.1667
SeaTac,2012,157390.0909
Edmonds,2021,719750
Edmonds,2020,640973.125
Edmonds,2018,582886.0417
Edmonds,2019,569556.25
Edmonds,2017,526666.6667
Edmonds,2016,451212.1667
Edmonds,2015,422017.9167
Edmonds,2014,368100.8333
Edmonds,2013,342475
Edmonds,2012,323267.7273
Puyallup,2021,448586.25
Puyallup,2020,415931.25
Puyallup,2019,372837.5417
Puyallup,2018,347428.3333
Puyallup,2017,314986.375
Puyallup,2016,284847.7083
Puyallup,2015,256276.25
Puyallup,2014,240502.375
Puyallup,2013,229260.75
Puyallup,2012,197391.8182
Federal Way,2021,480000
Federal Way,2020,433729.1667
Federal Way,2019,392812.5
Federal Way,2018,362183.3333
Federal Way,2017,343891.6667
Federal Way,2016,302125
Federal Way,2015,269070.75
Federal Way,2014,240543.75
Federal Way,2013,221787.4583
Federal Way,2012,185418.3182
Auburn,2021,485960.5
Auburn,2020,460290.1667
Auburn,2019,414662.5
Auburn,2018,388016.6667
Auburn,2017,357752.0833
Auburn,2016,326800
Auburn,2015,300608.3333
Auburn,2014,271045.625
Auburn,2013,255971.0833
Auburn,2012,217286.1364
Newcastle,2020,940028.4167
Newcastle,2017,855977.9167
Newcastle,2021,854500
Newcastle,2019,817082.9167
Newcastle,2018,815118.3333
Newcastle,2016,682603.25
Newcastle,2015,638804.1667
Newcastle,2014,566958.9167
Newcastle,2013,483402.25
Newcastle,2012,472761.3636
Woodinville,2021,901250
Woodinville,2020,883681.25
Woodinville,2018,828334.375
Woodinville,2019,811530.8333
Woodinville,2017,706958.3333
Woodinville,2016,646766.6667
Woodinville,2015,556289.875
Woodinville,2014,514716.6667
Woodinville,2013,498357.5
Woodinville,2012,439022.7273
Tacoma,2021,403250
Tacoma,2020,369766.6667
Tacoma,2019,325206.7917
Tacoma,2018,300304.1667
Tacoma,2017,264331.25
Tacoma,2016,233936.5417
Tacoma,2015,209472.375
Tacoma,2014,185105.3333
Tacoma,2013,169174.5833
Tacoma,2012,153705.4545
Burien,2021,510737.5
Burien,2020,493451.6667
Burien,2019,448810.4167
Burien,2018,438208.3333
Burien,2017,396539.6667
Burien,2016,351054.125
Burien,2015,293133.3333
Burien,2014,261147.9167
