Dates,"Amazon.com, Inc. (NasdaqGS:AMZN) - Share Pricing"
Jul-17-1998,19.97
Jul-20-1998,22.92
Jul-21-1998,22.01
Jul-22-1998,22.33
Jul-23-1998,21.27
Jul-24-1998,20.71
Jul-27-1998,20.93
Jul-28-1998,19.82
Jul-29-1998,17.97
Jul-30-1998,18.96
Jul-31-1998,18.48
Aug-03-1998,18.04
Aug-04-1998,18.31
Aug-05-1998,17.70
Aug-06-1998,18.25
Aug-07-1998,19.33
Aug-10-1998,20.27
Aug-11-1998,20.67
Aug-12-1998,21.73
Aug-13-1998,21.25
Aug-14-1998,20.46
Aug-17-1998,19.95
Aug-18-1998,21.45
Aug-19-1998,21.46
Aug-20-1998,21.52
Aug-21-1998,21.61
Aug-24-1998,22.46
Aug-25-1998,21.94
Aug-26-1998,21.21
Aug-27-1998,19.83
Aug-28-1998,17.65
Aug-31-1998,13.96
Sep-01-1998,13.33
Sep-02-1998,14.65
Sep-03-1998,14.31
Sep-04-1998,14.38
Sep-08-1998,15.38
Sep-09-1998,14.08
Sep-10-1998,13.27
Sep-11-1998,12.68
Sep-14-1998,12.28
Sep-15-1998,12.17
Sep-16-1998,14.08
Sep-17-1998,12.83
Sep-18-1998,13.28
Sep-21-1998,14.25
Sep-22-1998,14.70
Sep-23-1998,17.52
Sep-24-1998,17.02
Sep-25-1998,18.21
Sep-28-1998,19.27
Sep-29-1998,18.85
Sep-30-1998,18.60
Oct-01-1998,17.10
Oct-02-1998,18.38
Oct-05-1998,17.67
Oct-06-1998,18.05
Oct-07-1998,15.57
Oct-08-1998,14.36
Oct-09-1998,15.20
Oct-12-1998,15.53
Oct-13-1998,15.23
Oct-14-1998,15.58
Oct-15-1998,16.18
Oct-16-1998,16.57
Oct-19-1998,17.63
Oct-20-1998,17.79
Oct-21-1998,18.33
Oct-22-1998,19.11
Oct-23-1998,19.35
Oct-26-1998,20.24
Oct-27-1998,19.39
Oct-28-1998,19.51
Oct-29-1998,21.08
Oct-30-1998,21.07
Nov-02-1998,21.83
Nov-03-1998,21.01
Nov-04-1998,21.64
Nov-05-1998,21.42
Nov-06-1998,20.76
Nov-09-1998,21.15
Nov-10-1998,21.96
Nov-11-1998,21.10
Nov-12-1998,21.83
Nov-13-1998,21.29
Nov-16-1998,21.04
Nov-17-1998,24.75
Nov-18-1998,27.33
Nov-19-1998,25.54
Nov-20-1998,30.10
Nov-23-1998,36.33
Nov-24-1998,35.75
Nov-25-1998,35.05
Nov-27-1998,36.10
Nov-30-1998,32.00
Dec-01-1998,34.92
Dec-02-1998,33.25
Dec-03-1998,31.58
Dec-04-1998,31.42
Dec-07-1998,31.83
Dec-08-1998,34.01
Dec-09-1998,36.04
Dec-10-1998,35.52
Dec-11-1998,37.17
Dec-14-1998,37.04
Dec-15-1998,40.46
Dec-16-1998,48.17
Dec-17-1998,46.12
Dec-18-1998,47.78
Dec-21-1998,53.12
Dec-22-1998,53.73
Dec-23-1998,54.17
Dec-24-1998,54.14
Dec-28-1998,58.66
Dec-29-1998,55.39
Dec-30-1998,53.54
Dec-31-1998,53.54
Jan-04-1999,59.16
Jan-05-1999,62.25
Jan-06-1999,69.00
Jan-07-1999,79.44
Jan-08-1999,80.13
Jan-11-1999,92.31
Jan-12-1999,81.69
Jan-13-1999,74.00
Jan-14-1999,69.00
Jan-15-1999,70.19
Jan-19-1999,69.91
Jan-20-1999,56.50
Jan-21-1999,53.00
Jan-22-1999,61.50
Jan-25-1999,56.19
Jan-26-1999,57.55
Jan-27-1999,62.81
Jan-28-1999,61.44
Jan-29-1999,58.47
Feb-01-1999,57.94
Feb-02-1999,55.13
Feb-03-1999,62.88
Feb-04-1999,59.00
Feb-05-1999,57.94
Feb-08-1999,54.56
Feb-09-1999,50.00
Feb-10-1999,48.72
Feb-11-1999,54.94
Feb-12-1999,52.25
Feb-16-1999,49.31
Feb-17-1999,46.75
Feb-18-1999,44.75
Feb-19-1999,50.94
Feb-22-1999,53.25
Feb-23-1999,57.59
Feb-24-1999,55.47
Feb-25-1999,62.13
Feb-26-1999,64.06
Mar-01-1999,66.50
Mar-02-1999,60.66
Mar-03-1999,61.75
Mar-04-1999,60.06
Mar-05-1999,60.75
Mar-08-1999,61.09
Mar-09-1999,64.97
Mar-10-1999,68.56
Mar-11-1999,67.44
Mar-12-1999,66.66
Mar-15-1999,69.47
Mar-16-1999,66.91
Mar-17-1999,65.50
Mar-18-1999,69.22
Mar-19-1999,67.53
Mar-22-1999,66.00
Mar-23-1999,59.69
Mar-24-1999,61.84
Mar-25-1999,69.94
Mar-26-1999,69.53
Mar-29-1999,74.81
Mar-30-1999,82.34
Mar-31-1999,86.09
Apr-01-1999,85.50
Apr-05-1999,93.25
Apr-06-1999,91.44
Apr-07-1999,87.91
Apr-08-1999,89.50
Apr-09-1999,91.44
Apr-12-1999,92.22
Apr-13-1999,89.19
Apr-14-1999,84.00
Apr-15-1999,83.63
Apr-16-1999,95.00
Apr-19-1999,79.47
Apr-20-1999,86.00
Apr-21-1999,89.63
Apr-22-1999,95.03
Apr-23-1999,105.06
Apr-26-1999,103.59
Apr-27-1999,102.94
Apr-28-1999,96.75
Apr-29-1999,84.13
Apr-30-1999,86.03
May-03-1999,75.47
May-04-1999,71.50
May-05-1999,73.25
May-06-1999,68.69
May-07-1999,68.19
May-10-1999,73.44
May-11-1999,74.19
May-12-1999,71.47
May-13-1999,68.00
May-14-1999,66.19
May-17-1999,68.81
May-18-1999,66.31
May-19-1999,69.78
May-20-1999,65.41
May-21-1999,64.28
May-24-1999,58.75
May-25-1999,55.78
May-26-1999,60.47
May-27-1999,57.28
May-28-1999,59.38
Jun-01-1999,52.91
Jun-02-1999,56.06
Jun-03-1999,52.53
Jun-04-1999,54.22
Jun-07-1999,58.69
Jun-08-1999,55.78
Jun-09-1999,57.00
Jun-10-1999,57.97
Jun-11-1999,52.91
Jun-14-1999,46.00
Jun-15-1999,48.25
Jun-16-1999,55.84
Jun-17-1999,56.47
Jun-18-1999,55.66
Jun-21-1999,61.75
Jun-22-1999,58.75
Jun-23-1999,58.88
Jun-24-1999,56.81
Jun-25-1999,55.09
Jun-28-1999,55.34
Jun-29-1999,58.03
Jun-30-1999,62.56
Jul-01-1999,61.19
Jul-02-1999,62.03
Jul-06-1999,63.44
Jul-07-1999,60.94
Jul-08-1999,62.69
Jul-09-1999,62.75
Jul-12-1999,58.69
Jul-13-1999,63.06
Jul-14-1999,67.50
Jul-15-1999,69.78
Jul-16-1999,68.81
Jul-19-1999,65.84
Jul-20-1999,60.06
Jul-21-1999,62.72
Jul-22-1999,53.59
Jul-23-1999,57.28
Jul-26-1999,52.97
Jul-27-1999,50.50
Jul-28-1999,52.88
Jul-29-1999,50.78
Jul-30-1999,50.03
Aug-02-1999,47.00
Aug-03-1999,47.44
Aug-04-1999,44.22
Aug-05-1999,48.63
Aug-06-1999,44.78
Aug-09-1999,42.75
Aug-10-1999,45.50
Aug-11-1999,45.47
Aug-12-1999,45.88
Aug-13-1999,48.72
Aug-16-1999,49.16
Aug-17-1999,54.63
Aug-18-1999,56.56
Aug-19-1999,53.06
Aug-20-1999,56.72
Aug-23-1999,59.19
Aug-24-1999,60.03
Aug-25-1999,66.44
Aug-26-1999,64.28
Aug-27-1999,64.25
Aug-30-1999,59.63
Aug-31-1999,62.19
Sep-01-1999,59.53
Sep-02-1999,60.06
Sep-03-1999,62.44
Sep-07-1999,62.94
Sep-08-1999,61.44
Sep-09-1999,63.63
Sep-10-1999,66.50
Sep-13-1999,63.31
Sep-14-1999,66.00
Sep-15-1999,65.56
Sep-16-1999,65.25
Sep-17-1999,63.81
Sep-20-1999,62.75
Sep-21-1999,62.25
Sep-22-1999,66.00
Sep-23-1999,62.25
Sep-24-1999,65.00
Sep-27-1999,62.56
Sep-28-1999,65.88
Sep-29-1999,80.75
Sep-30-1999,79.94
Oct-01-1999,77.25
Oct-04-1999,77.06
Oct-05-1999,78.44
Oct-06-1999,82.44
Oct-07-1999,87.31
Oct-08-1999,89.25
Oct-11-1999,88.38
Oct-12-1999,84.94
Oct-13-1999,79.94
Oct-14-1999,79.59
Oct-15-1999,75.06
Oct-18-1999,74.06
Oct-19-1999,76.63
Oct-20-1999,80.50
Oct-21-1999,80.75
Oct-22-1999,78.63
Oct-25-1999,82.75
Oct-26-1999,81.25
Oct-27-1999,75.94
Oct-28-1999,71.00
Oct-29-1999,70.63
Nov-01-1999,69.13
Nov-02-1999,66.44
Nov-03-1999,65.81
Nov-04-1999,63.06
Nov-05-1999,64.94
Nov-08-1999,78.00
Nov-09-1999,70.81
Nov-10-1999,72.00
Nov-11-1999,73.00
Nov-12-1999,74.94
Nov-15-1999,73.50
Nov-16-1999,78.94
Nov-17-1999,76.50
Nov-18-1999,77.94
Nov-19-1999,77.94
Nov-22-1999,80.50
Nov-23-1999,81.75
Nov-24-1999,87.25
Nov-26-1999,93.13
Nov-29-1999,90.44
Nov-30-1999,85.06
Dec-01-1999,85.00
Dec-02-1999,89.06
Dec-03-1999,86.56
Dec-06-1999,87.75
Dec-07-1999,86.06
Dec-08-1999,88.56
Dec-09-1999,103.63
Dec-10-1999,106.69
Dec-13-1999,102.50
Dec-14-1999,95.63
Dec-15-1999,96.50
Dec-16-1999,94.88
Dec-17-1999,94.06
Dec-20-1999,97.00
Dec-21-1999,99.88
Dec-22-1999,97.69
Dec-23-1999,90.00
Dec-27-1999,81.13
Dec-28-1999,82.31
Dec-29-1999,83.50
Dec-30-1999,79.06
Dec-31-1999,76.13
Jan-03-2000,89.38
Jan-04-2000,81.94
Jan-05-2000,69.75
Jan-06-2000,65.56
Jan-07-2000,69.56
Jan-10-2000,69.19
Jan-11-2000,66.75
Jan-12-2000,63.56
Jan-13-2000,65.94
Jan-14-2000,64.25
Jan-18-2000,64.13
Jan-19-2000,66.81
Jan-20-2000,64.75
Jan-21-2000,62.06
Jan-24-2000,70.13
Jan-25-2000,69.25
Jan-26-2000,64.81
Jan-27-2000,66.94
Jan-28-2000,61.69
Jan-31-2000,64.56
Feb-01-2000,67.44
Feb-02-2000,69.44
Feb-03-2000,84.19
Feb-04-2000,78.56
Feb-07-2000,75.00
Feb-08-2000,83.13
Feb-09-2000,80.25
Feb-10-2000,76.19
Feb-11-2000,76.19
Feb-14-2000,74.44
Feb-15-2000,73.81
Feb-16-2000,70.69
Feb-17-2000,69.00
Feb-18-2000,64.75
Feb-22-2000,63.56
Feb-23-2000,70.44
Feb-24-2000,68.44
Feb-25-2000,69.13
Feb-28-2000,65.75
Feb-29-2000,68.88
Mar-01-2000,65.88
Mar-02-2000,62.56
Mar-03-2000,62.50
Mar-06-2000,63.94
Mar-07-2000,63.50
Mar-08-2000,63.63
Mar-09-2000,68.81
Mar-10-2000,66.88
Mar-13-2000,65.31
Mar-14-2000,65.63
Mar-15-2000,63.75
Mar-16-2000,66.25
Mar-17-2000,64.81
Mar-20-2000,64.19
Mar-21-2000,72.38
Mar-22-2000,70.69
Mar-23-2000,67.69
Mar-24-2000,72.69
Mar-27-2000,73.13
Mar-28-2000,70.13
Mar-29-2000,66.25
Mar-30-2000,66.50
Mar-31-2000,67.00
Apr-03-2000,63.56
Apr-04-2000,63.94
Apr-05-2000,62.19
Apr-06-2000,64.25
Apr-07-2000,67.56
Apr-10-2000,63.38
Apr-11-2000,63.38
Apr-12-2000,56.38
Apr-13-2000,48.00
Apr-14-2000,46.88
Apr-17-2000,47.06
Apr-18-2000,54.94
Apr-19-2000,53.44
Apr-20-2000,52.38
Apr-24-2000,49.81
Apr-25-2000,52.44
Apr-26-2000,53.50
Apr-27-2000,52.88
Apr-28-2000,55.19
May-01-2000,59.94
May-02-2000,56.13
May-03-2000,54.13
May-04-2000,55.06
May-05-2000,58.50
May-08-2000,56.02
May-09-2000,56.25
May-10-2000,53.31
May-11-2000,54.88
May-12-2000,53.75
May-15-2000,56.06
May-16-2000,59.06
May-17-2000,61.00
May-18-2000,55.38
May-19-2000,52.63
May-22-2000,51.88
May-23-2000,46.69
May-24-2000,48.56
May-25-2000,45.50
May-26-2000,46.50
May-30-2000,51.75
May-31-2000,48.31
Jun-01-2000,50.19
Jun-02-2000,57.88
Jun-05-2000,54.50
Jun-06-2000,50.56
Jun-07-2000,51.81
Jun-08-2000,51.88
Jun-09-2000,52.19
Jun-12-2000,48.44
Jun-13-2000,49.00
Jun-14-2000,46.44
Jun-15-2000,46.31
Jun-16-2000,46.00
Jun-19-2000,45.31
Jun-20-2000,46.13
Jun-21-2000,46.06
Jun-22-2000,42.00
Jun-23-2000,33.88
Jun-26-2000,33.94
Jun-27-2000,36.50
Jun-28-2000,37.88
Jun-29-2000,37.13
Jun-30-2000,36.31
Jul-03-2000,37.00
Jul-05-2000,36.50
Jul-06-2000,36.06
Jul-07-2000,36.13
Jul-10-2000,35.06
Jul-11-2000,33.13
Jul-12-2000,35.06
Jul-13-2000,35.00
Jul-14-2000,42.50
Jul-17-2000,41.13
Jul-18-2000,41.75
Jul-19-2000,40.88
Jul-20-2000,40.31
Jul-21-2000,41.13
Jul-24-2000,38.75
Jul-25-2000,37.63
Jul-26-2000,36.06
Jul-27-2000,31.38
Jul-28-2000,30.00
Jul-31-2000,30.13
Aug-01-2000,30.25
Aug-02-2000,30.81
Aug-03-2000,31.50
Aug-04-2000,32.50
Aug-07-2000,33.81
Aug-08-2000,32.94
Aug-09-2000,30.88
Aug-10-2000,30.44
Aug-11-2000,33.69
Aug-14-2000,34.88
Aug-15-2000,37.56
Aug-16-2000,38.63
Aug-17-2000,38.25
Aug-18-2000,39.00
Aug-21-2000,37.50
Aug-22-2000,36.50
Aug-23-2000,38.81
Aug-24-2000,39.38
Aug-25-2000,39.94
Aug-28-2000,39.13
Aug-29-2000,39.63
Aug-30-2000,42.94
Aug-31-2000,41.50
Sep-01-2000,41.50
Sep-05-2000,45.69
Sep-06-2000,45.88
Sep-07-2000,43.50
Sep-08-2000,42.94
Sep-11-2000,42.38
Sep-12-2000,42.69
Sep-13-2000,42.44
Sep-14-2000,44.88
Sep-15-2000,43.63
Sep-18-2000,42.81
Sep-19-2000,40.75
Sep-20-2000,37.50
Sep-21-2000,40.06
Sep-22-2000,41.44
Sep-25-2000,40.38
Sep-26-2000,39.75
Sep-27-2000,37.88
Sep-28-2000,40.00
Sep-29-2000,38.44
Oct-02-2000,35.88
Oct-03-2000,35.06
Oct-04-2000,36.00
Oct-05-2000,33.56
Oct-06-2000,31.56
Oct-09-2000,30.06
Oct-10-2000,30.44
Oct-11-2000,27.81
Oct-12-2000,25.13
Oct-13-2000,28.44
Oct-16-2000,24.31
Oct-17-2000,21.94
Oct-18-2000,25.13
Oct-19-2000,27.75
Oct-20-2000,30.81
Oct-23-2000,30.00
Oct-24-2000,29.56
Oct-25-2000,31.88
Oct-26-2000,36.88
Oct-27-2000,35.63
Oct-30-2000,32.88
Oct-31-2000,36.63
Nov-01-2000,37.38
Nov-02-2000,39.75
Nov-03-2000,37.56
Nov-06-2000,36.56
Nov-07-2000,36.94
Nov-08-2000,33.88
Nov-09-2000,31.25
Nov-10-2000,30.06
Nov-13-2000,27.81
Nov-14-2000,28.94
Nov-15-2000,29.50
Nov-16-2000,27.81
Nov-17-2000,27.44
Nov-20-2000,25.81
Nov-21-2000,24.25
Nov-22-2000,25.19
Nov-24-2000,28.94
Nov-27-2000,28.00
Nov-28-2000,25.03
Nov-29-2000,26.94
Nov-30-2000,24.69
Dec-01-2000,24.63
Dec-04-2000,26.56
Dec-05-2000,25.38
Dec-06-2000,23.63
Dec-07-2000,21.38
Dec-08-2000,23.44
Dec-11-2000,25.31
Dec-12-2000,25.88
Dec-13-2000,23.75
Dec-14-2000,22.69
Dec-15-2000,22.88
Dec-18-2000,19.88
Dec-19-2000,18.25
Dec-20-2000,16.69
Dec-21-2000,15.19
Dec-22-2000,15.56
Dec-26-2000,16.94
Dec-27-2000,16.88
Dec-28-2000,17.38
Dec-29-2000,15.56
Jan-02-2001,13.88
Jan-03-2001,17.56
Jan-04-2001,15.50
Jan-05-2001,14.56
Jan-08-2001,14.94
Jan-09-2001,16.38
Jan-10-2001,16.50
Jan-11-2001,17.00
Jan-12-2001,17.69
Jan-16-2001,18.06
Jan-17-2001,18.38
Jan-18-2001,19.50
Jan-19-2001,19.94
Jan-22-2001,18.50
Jan-23-2001,18.95
Jan-24-2001,21.88
Jan-25-2001,19.00
Jan-26-2001,19.50
Jan-29-2001,20.13
Jan-30-2001,18.94
Jan-31-2001,17.31
Feb-01-2001,16.25
Feb-02-2001,14.38
Feb-05-2001,14.44
