Region,Year of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Days on Market MoM,Days on Market YoY
Seattle - Wallingford,2017,832862.4583,721,720,124,107,-0.5,0.416666667
Seattle - Wallingford,2018,899833.3333,731,845,258,99.5,0.291666667,-0.625
Seattle - Wallingford,2019,866539.5833,689,865,416,173.5,1.291666667,6.166666667
Seattle - Wallingford,2020,897033.3333,901,1061,404,156,-1.5,-1.458333333
Seattle - Wallingford,2021,880187.5,170,160,53,23.5,1.75,-22
Seattle - West Seattle,2012,323918.1818,3791,4377,3132,404.5,-1.681818182,-14.63636364
Seattle - West Seattle,2013,363823.8333,4752,5675,3377,244,-1.25,-17.83333333
Seattle - West Seattle,2014,392037.5,5089,5606,2853,240,0.333333333,-0.333333333
Seattle - West Seattle,2015,438207.5,5627,5871,1788,137.5,-1.166666667,-8.541666667
Seattle - West Seattle,2016,500319.9583,5776,6189,1660,103,0.166666667,-2.875
Seattle - West Seattle,2017,576388.5,5706,5683,1219,110,-0.083333333,0.583333333
Seattle - West Seattle,2018,644187.5,5232,6391,2414,136,1.166666667,2.166666667
Seattle - West Seattle,2019,627662.5,5544,6038,2780,256.5,-0.25,10.04166667
Seattle - West Seattle,2020,661733.3333,5702,6685,2570,138,-0.583333333,-9.875
Seattle - West Seattle,2021,654987.5,980,822,224,36,1,-5.75
